S/N,ACTIVITIES DESCRIPTION (ITEM),DELEGATION NO. (QTY.), AMT NAIRA (ESTIMATED/UNIT PRICE),QTY.,"ADDITIONAL INFO.
(TOTAL COST)",REMARKS
(A.) HAEMATINICS ,,,,,,
1,Syr. Multivitamin (Emzor),30 btls.,980,30,"₦29,400.00",
2,Cap Ferrobin plus ,50 pcks.,"2,350",50,"₦117,500.00",
3,Cap. Astyfer,10 btls.,"4,650",10,"₦46,500.00",
(B.) ANALGESICS & MUSCLE RELAXANT,,,,,₦0.00,
4,Tab. Diclofenac Potassium 50mg (Hovid),200 pcks.,"9,800",200,"₦1,960,000.00",
5,Tab. Diclofenac/Misoprostol 75mg/200mcg (Pfizer),50 pcks.,"4,600",50,"₦230,000.00",
6,Tab. Orphenadrine/Paracetamol (150/500mg) pk of 10,100 pcks.,"2,750",100,"₦275,000.00",
7,Tab. Tizanidine 2mg,30 pcks.,"3,840",100,"₦384,000.00",
8,Tab. Paracetamol 1000mg (Emzor) pk of 10,250 pcks.,890,250,"₦222,500.00",
9,Syr. Paracetamol (Emzor),50 btls.,"10,925",50,"₦546,250.00",
10,Tab. Paracetamol 500mg ,50 pcks.,"1,495",50,"₦74,750.00",
11,Cap. Paracetamol 500mg x 1000,12 pcks.,"7,475",12,"₦89,700.00",
12,Tabs PCM Night (Emzor) pk of 10 ,,,,₦0.00,
13,Tabs Acycor (PCM/Aceclofenac 500/50mg Reals) pk of 10,150 pcks.,890,150,"₦133,500.00",
14,Tabs Ibuprofen 200mg Brustan-N,50 pcks.,590,50,"₦29,500.00",
15,Inj. Paracetamol 300mg,20  pcks.,,20,₦0.00,
16,Tabs Diclomol (500/50mg) pk of 10,30 pks ,675,30,"₦20,250.00",
17,Diclofenac gel (Diclomol),100 tubes,"1,725",100,"₦172,500.00",
18,Inj Fentanyl 100mcg pk of 10 vials,3pcks.,"8,625",3,"₦25,875.00",
19,Inj Pentazocine 30mg pk of 10 vials,3pcks.,"9,200",3,"₦27,600.00",
20,Paracetamol suppositories 250mg pk of 10,50 pcks.,"5,750",50,"₦287,500.00",
21,Diclofenac suppositories 25mg/50mg/100mg pk of 10,30 pcks.,"6,900",30,"₦207,000.00",
22,Tab. Neurobion pk of 28,60 pcks.,"9,200",60,"₦552,000.00",
